Date,Open,High,Low,Close,Volume
12-Sep-25,14.26,16.18,14.05,16.15,16.15,"9,423,500"
11-Sep-25,13.87,14.36,13.53,14.11,14.11,"4,698,900"
10-Sep-25,14.09,14.22,13.61,13.64,13.64,"4,577,300"
9-Sep-25,12.93,13.97,12.73,13.85,13.85,"4,848,800"
8-Sep-25,12.35,12.94,12.02,12.7,12.7,"2,470,100"
5-Sep-25,12.6,12.7,11.85,12.35,12.35,"3,541,500"
4-Sep-25,13,13.33,11.94,12.01,12.01,"4,290,300"
3-Sep-25,14.6,14.71,13.18,13.26,13.26,"4,719,700"
2-Sep-25,13.73,14.65,13.44,14.24,14.24,"4,053,800"
29-Aug-25,13.6,14.35,13.22,14.29,14.29,"5,553,300"
28-Aug-25,13.75,14.36,13.48,13.68,13.68,"4,949,700"
27-Aug-25,13,13.85,12.78,13.55,13.55,"3,567,000"
26-Aug-25,12.82,13.08,12.68,12.95,12.95,"2,272,100"
25-Aug-25,13.03,13.37,12.62,13.12,13.12,"2,006,200"
22-Aug-25,12.53,13.66,12.34,13.35,13.35,"3,781,300"
21-Aug-25,12.8,12.8,12.29,12.61,12.61,"2,632,400"
20-Aug-25,12.88,12.99,12.15,12.94,12.94,"3,211,700"
19-Aug-25,14.05,14.15,12.6,12.94,12.94,"5,139,300"
18-Aug-25,13.7,14.77,12.66,14.36,14.36,"6,188,200"
15-Aug-25,13.84,13.84,13.05,13.39,13.39,"2,788,900"
14-Aug-25,13.67,14.06,13.22,13.78,13.78,"2,239,400"
13-Aug-25,13.35,14,13.25,13.98,13.98,"4,627,900"
12-Aug-25,12.84,13.42,12.8,13.21,13.21,"2,154,700"
11-Aug-25,12.82,13.56,12.76,12.79,12.79,"3,825,900"
8-Aug-25,12.99,13.02,12.22,12.57,12.57,"2,375,900"
7-Aug-25,13.02,13.25,12.6,12.94,12.94,"1,671,100"
6-Aug-25,12.84,13.26,12.6,12.97,12.97,"2,752,100"
5-Aug-25,12.89,13,12.44,12.74,12.74,"2,075,900"
4-Aug-25,12.39,13,12.19,12.98,12.98,"2,790,200"
1-Aug-25,12.1,12.56,11.88,12.11,12.11,"3,848,200"
31-Jul-25,13.26,13.46,12.89,12.89,12.89,"2,569,700"
30-Jul-25,13.37,13.72,12.78,13.08,13.08,"2,841,100"
29-Jul-25,14.5,14.5,13.35,13.43,13.43,"3,475,100"
28-Jul-25,15.05,15.19,14.11,14.18,14.18,"2,743,500"
25-Jul-25,14.91,14.97,14.27,14.64,14.64,"2,847,100"
24-Jul-25,14.75,15.63,14.73,15.16,15.16,"5,520,800"
23-Jul-25,14.55,14.77,13.77,14.75,14.75,"3,153,700"
22-Jul-25,13.95,14.89,13.6,14.65,14.65,"6,649,200"
21-Jul-25,13.99,15.17,13.71,13.75,13.75,"7,366,100"
18-Jul-25,13.9,14.57,13.39,13.7,13.7,"5,344,400"
17-Jul-25,13.52,13.85,13.3,13.75,13.75,"3,536,100"
16-Jul-25,13.05,13.8,12.92,13.5,13.5,"5,178,300"
15-Jul-25,13.32,13.39,12.48,12.55,12.55,"4,556,100"
14-Jul-25,13.7,14.47,13.17,13.51,13.51,"6,420,400"
11-Jul-25,13.91,14.48,13.07,13.24,13.24,"4,483,400"
10-Jul-25,13.06,13.49,12.83,13.17,13.17,"5,768,100"
9-Jul-25,13.03,13.04,12.16,12.97,12.97,"3,745,400"
8-Jul-25,13.4,13.55,12.44,12.68,12.68,"4,019,200"
7-Jul-25,13.07,13.36,12.3,13.13,13.13,"4,808,100"
3-Jul-25,13.29,14.1,13.16,13.77,13.77,"5,006,200"
2-Jul-25,11.51,13.37,11.35,13.08,13.08,"11,407,600"
1-Jul-25,11.13,11.63,10.8,11.3,11.3,"3,652,600"
30-Jun-25,11.16,11.7,11.12,11.48,11.48,"4,041,100"
27-Jun-25,11.32,11.35,10.82,11.09,11.09,"15,676,700"
26-Jun-25,10.68,11.31,10.41,11.21,11.21,"6,804,500"
25-Jun-25,11.29,11.36,10.72,10.74,10.74,"5,626,200"
24-Jun-25,11.15,11.4,10.97,10.98,10.98,"3,707,700"
23-Jun-25,10.84,11.18,10.48,10.91,10.91,"5,267,600"
20-Jun-25,12.03,12.08,11.23,11.28,11.28,"5,398,300"
18-Jun-25,11.8,11.99,11.28,11.8,11.8,"11,664,700"
17-Jun-25,13.2,13.25,12.51,12.7,12.7,"2,252,500"
16-Jun-25,12.97,13.57,12.8,13.56,13.56,"1,989,800"
13-Jun-25,12.93,13.23,12.6,12.68,12.68,"2,286,200"
12-Jun-25,13.44,13.8,13.22,13.29,13.29,"2,006,200"
11-Jun-25,14.3,14.35,13.68,13.83,13.83,"2,328,300"
10-Jun-25,14.5,14.75,13.8,14.3,14.3,"3,539,900"
9-Jun-25,14.5,14.51,13.59,14.01,14.01,"4,042,300"
6-Jun-25,12.97,14.26,12.93,13.99,13.99,"4,349,700"
5-Jun-25,13.53,13.55,12.34,12.63,12.63,"3,072,800"
4-Jun-25,12.6,13.28,12.49,13.25,13.25,"4,101,300"
3-Jun-25,13.03,13.19,12.68,12.91,12.91,"3,037,900"
2-Jun-25,12.7,12.9,12.22,12.76,12.76,"2,922,100"
30-May-25,14.05,14.07,12.76,12.86,12.86,"6,605,700"
29-May-25,14.6,15.05,14.24,14.31,14.31,"4,587,900"
28-May-25,14.91,15.01,14.19,14.3,14.3,"3,672,400"
27-May-25,15.04,15.15,14.56,15,15,"3,373,000"
23-May-25,14.34,14.78,14.14,14.46,14.46,"3,113,300"
22-May-25,15.27,15.8,15.02,15.08,15.08,"3,983,600"
21-May-25,15.03,16.23,14.67,14.75,14.75,"8,068,900"
20-May-25,15.35,15.77,14.6,15.59,15.59,"3,901,100"
19-May-25,14.8,15.5,14.28,15.32,15.32,"4,304,800"
16-May-25,13.96,15.23,13.62,15.19,15.19,"5,304,000"
15-May-25,13.82,13.9,12.34,13.73,13.73,"8,973,400"
14-May-25,14.26,14.75,14.01,14.09,14.09,"5,479,500"
13-May-25,14.28,14.79,13.92,14.43,14.43,"3,941,700"
12-May-25,15.1,15.25,13.89,14.18,14.18,"6,962,800"
9-May-25,13.96,14.6,13.62,14.12,14.12,"9,984,100"
8-May-25,12.05,13.83,11.71,13.54,13.54,"9,112,800"
7-May-25,10.9,11.38,10.55,11.35,11.35,"3,885,300"
6-May-25,10,11.11,9.9,10.92,10.92,"4,528,900"
5-May-25,10.52,10.65,9.87,10.25,10.25,"3,307,900"
2-May-25,10.33,11.35,10.19,10.97,10.97,"4,391,100"
1-May-25,10.13,10.72,9.84,10.18,10.18,"5,673,500"
30-Apr-25,9.4,9.65,9.08,9.57,9.57,"2,543,700"
29-Apr-25,10.02,10.16,9.64,9.85,9.85,"2,620,600"
28-Apr-25,10.52,10.52,9.5,10.02,10.02,"3,881,000"
25-Apr-25,10.66,10.81,10.16,10.53,10.53,"5,236,000"
24-Apr-25,9.7,10.55,9.59,10.4,10.4,"6,290,700"
23-Apr-25,9.96,10.55,9.61,9.84,9.84,"8,963,400"
22-Apr-25,7.94,9.56,7.91,9.38,9.38,"8,488,800"
21-Apr-25,7.8,8.22,7.56,7.6,7.6,"4,811,400"
17-Apr-25,7.39,7.7,7.15,7.62,7.62,"2,954,400"
16-Apr-25,7.05,7.47,6.84,7.38,7.38,"6,431,900"
15-Apr-25,7.81,7.9,7.14,7.2,7.2,"3,893,300"
14-Apr-25,8.38,8.4,7.72,7.87,7.87,"3,667,600"
11-Apr-25,7.68,7.99,7.42,7.95,7.95,"6,577,200"
10-Apr-25,8.24,8.52,7.22,7.6,7.6,"5,597,900"
9-Apr-25,7.32,8.94,7,8.83,8.83,"7,016,700"
8-Apr-25,8.57,8.59,7.2,7.34,7.34,"3,222,500"
7-Apr-25,7.3,8.74,7.22,8.28,8.28,"4,379,600"
4-Apr-25,8.52,8.61,7.33,8.03,8.03,"7,627,200"
3-Apr-25,8.61,9.03,8.54,8.77,8.77,"3,342,100"
2-Apr-25,8.69,9.51,8.69,9.48,9.48,"3,304,800"
1-Apr-25,8.95,9.08,8.49,8.96,8.96,"3,135,200"
31-Mar-25,8.8,8.96,8.46,8.83,8.83,"4,436,200"
28-Mar-25,9.58,9.63,9.01,9.14,9.14,"4,200,400"
27-Mar-25,9.8,10.27,9.75,9.92,9.92,"3,915,300"
26-Mar-25,10.91,11.09,10.02,10.15,10.15,"3,755,600"
25-Mar-25,11.42,11.79,10.96,10.99,10.99,"3,273,400"
24-Mar-25,10.56,11.68,10.4,11.65,11.65,"4,997,800"
21-Mar-25,9.72,10.06,9.56,10.01,10.01,"4,164,800"
20-Mar-25,10.12,10.59,9.98,10,10,"3,076,300"
19-Mar-25,9.99,10.66,9.81,10.57,10.57,"3,586,800"
18-Mar-25,10.47,10.47,9.43,9.48,9.48,"5,086,000"
17-Mar-25,10.26,10.53,9.99,10.48,10.48,"3,095,200"
14-Mar-25,10.07,10.39,9.89,10.35,10.35,"3,703,300"
