
Date,Open,High,Low,Close,Adj Close,Volume
12-Sep-25,16.78,20.13,16.66,19.09,19.09,"112,009,800"
11-Sep-25,16.15,17,16.04,16.69,16.69,"38,165,200"
10-Sep-25,16.39,16.62,16.1,16.19,16.19,"32,877,300"
9-Sep-25,15.25,16.69,15.09,16.5,16.5,"45,080,700"
8-Sep-25,15.21,15.49,14.98,15.15,15.15,"24,957,100"
5-Sep-25,15.39,15.65,14.47,15.1,15.1,"33,450,100"
4-Sep-25,15.23,15.67,14.89,15.12,15.12,"29,216,800"
3-Sep-25,15.6,15.81,14.94,15.04,15.04,"27,360,100"
2-Sep-25,15.84,16.03,14.77,15.52,15.52,"64,148,900"
29-Aug-25,16.6,16.79,16.12,16.23,16.23,"42,451,100"
28-Aug-25,15.72,17.27,15.68,16.58,16.58,"75,480,500"
27-Aug-25,15.29,16.09,15.07,15.39,15.39,"43,923,400"
26-Aug-25,14.4,15.35,14.37,15.3,15.3,"39,223,700"
25-Aug-25,14.82,14.9,14.12,14.47,14.47,"23,401,600"
22-Aug-25,14.19,14.97,13.82,14.82,14.82,"29,793,400"
21-Aug-25,14.64,14.85,14.18,14.27,14.27,"22,675,600"
20-Aug-25,14.9,15.03,13.97,14.76,14.76,"26,581,600"
19-Aug-25,16.47,16.91,14.95,15.16,15.16,"37,661,200"
18-Aug-25,16.57,17.04,16.11,16.63,16.63,"26,820,400"
15-Aug-25,17.8,17.83,16.16,16.65,16.65,"48,381,500"
14-Aug-25,16.75,18.1,16.1,17.98,17.98,"63,512,100"
13-Aug-25,16.22,18.16,15.66,17.24,17.24,"92,447,800"
12-Aug-25,15.65,16.37,15.48,16.2,16.2,"35,648,500"
11-Aug-25,15.42,16.17,15.22,15.98,15.98,"28,439,100"
8-Aug-25,15.81,16.16,15.18,15.44,15.44,"20,793,300"
7-Aug-25,15.64,16.06,15.26,15.66,15.66,"27,526,400"
6-Aug-25,16.3,16.34,15.7,15.99,15.99,"24,349,400"
5-Aug-25,15.74,16.85,15.59,16.47,16.47,"45,290,400"
4-Aug-25,14.48,15.88,14.3,15.76,15.76,"50,062,600"
1-Aug-25,14.04,14.37,13.61,14.12,14.12,"31,989,500"
31-Jul-25,14.68,15.95,14.47,14.5,14.5,"50,653,500"
30-Jul-25,14.65,14.93,14.02,14.17,14.17,"24,466,200"
29-Jul-25,15.46,16.07,14.36,14.47,14.47,"31,378,200"
28-Jul-25,15.86,16.32,15.21,15.57,15.57,"33,355,400"
25-Jul-25,15.94,15.94,15.27,15.44,15.44,"21,368,400"
24-Jul-25,16.15,16.37,15.87,15.95,15.95,"34,835,400"
23-Jul-25,15.56,16.31,15.35,16.14,16.14,"32,975,100"
22-Jul-25,16.1,16.14,14.75,15.43,15.43,"40,588,200"
21-Jul-25,17.15,17.39,16.03,16.08,16.08,"44,336,600"
18-Jul-25,16.71,17.39,15.96,17.16,17.16,"56,511,300"
17-Jul-25,16.1,17.17,15.73,17.14,17.14,"83,133,000"
16-Jul-25,13.8,16.84,13.78,16.56,16.56,"192,877,500"
15-Jul-25,12.99,13.02,12.48,12.72,12.72,"22,620,300"
14-Jul-25,12.3,12.9,12.16,12.77,12.77,"26,361,100"
11-Jul-25,12.95,13.07,12.08,12.18,12.18,"30,496,900"
10-Jul-25,13.49,13.69,13.03,13.03,13.03,"25,768,100"
9-Jul-25,13.64,13.89,12.83,13.51,13.51,"31,627,700"
8-Jul-25,13.84,14.24,13.25,13.38,13.38,"37,275,400"
7-Jul-25,13.22,13.85,12.42,13.75,13.75,"50,496,100"
3-Jul-25,12.91,13.47,12.86,13.45,13.45,"35,342,500"
2-Jul-25,11.51,13.1,11.43,13.08,13.08,"65,581,800"
1-Jul-25,11.64,11.75,11.23,11.33,11.33,"28,156,600"
30-Jun-25,11.19,12.09,11.14,11.86,11.86,"48,094,800"
27-Jun-25,11.32,11.41,10.8,11.07,11.07,"52,444,700"
26-Jun-25,11.24,11.52,11.07,11.11,11.11,"27,523,000"
25-Jun-25,11.79,12.03,11.03,11.09,11.09,"29,108,700"
24-Jun-25,11.3,11.62,11.16,11.5,11.5,"30,463,000"
23-Jun-25,10.8,11,10.3,10.79,10.79,"33,264,900"
20-Jun-25,11.51,11.58,11.01,11.06,11.06,"27,759,500"
18-Jun-25,11.62,11.77,11.14,11.35,11.35,"30,230,000"
17-Jun-25,12.01,12.22,11.38,11.48,11.48,"33,958,800"
16-Jun-25,11.64,12.28,11.5,12.16,12.16,"47,085,400"
13-Jun-25,11.65,11.92,11.31,11.4,11.4,"45,368,100"
12-Jun-25,12.61,13.39,12.1,12.1,12.1,"93,622,200"
11-Jun-25,12.19,13.56,11.86,12.52,12.52,"178,367,000"
10-Jun-25,11.53,12.12,11.08,11.24,11.24,"61,400,200"
9-Jun-25,11.83,11.83,11.1,11.32,11.32,"43,412,700"
6-Jun-25,11.22,11.76,10.98,11.28,11.28,"38,279,600"
5-Jun-25,11.81,11.82,10.71,10.89,10.89,"35,304,700"
4-Jun-25,12.12,12.18,11.65,11.82,11.82,"29,530,600"
3-Jun-25,12.57,12.83,11.82,12.04,12.04,"42,259,500"
2-Jun-25,12.27,12.5,11.82,12.26,12.26,"29,878,800"
30-May-25,12.5,12.75,11.75,12.11,12.11,"53,928,500"
29-May-25,14.41,14.75,13.05,13.15,13.15,"47,543,200"
28-May-25,13.85,14.49,13.8,14.16,14.16,"52,811,600"
27-May-25,14.97,15.3,13.75,14.19,14.19,"77,321,600"
23-May-25,13.04,14.69,12.77,14.02,14.02,"107,968,800"
22-May-25,11.03,14.44,10.94,13.86,13.86,"165,197,100"
21-May-25,11.85,12.07,10.77,10.96,10.96,"66,748,600"
20-May-25,12.53,12.69,11.51,11.92,11.92,"92,681,100"
19-May-25,11.49,12.23,11.15,12.05,12.05,"60,550,800"
16-May-25,12.05,12.52,11.52,11.85,11.85,"67,589,800"
15-May-25,11.4,11.93,11.18,11.54,11.54,"52,940,100"
14-May-25,10.22,12.39,10.18,11.64,11.64,"132,878,300"
13-May-25,10.25,10.8,9.85,9.86,9.86,"74,248,700"
12-May-25,11.78,11.98,11.08,11.55,11.55,"87,924,800"
9-May-25,10.31,10.64,10.04,10.58,10.58,"58,545,500"
8-May-25,9.94,10.43,9.3,10.31,10.31,"71,091,600"
7-May-25,9.69,9.8,9.14,9.25,9.25,"21,805,900"
6-May-25,9.47,9.84,9.2,9.78,9.78,"16,962,500"
5-May-25,10.38,10.38,9.51,9.69,9.69,"34,754,600"
2-May-25,9.22,10.92,9.22,10.63,10.63,"69,215,600"
1-May-25,9.11,9.27,8.94,9.14,9.14,"16,256,400"
30-Apr-25,8.59,8.89,8.35,8.87,8.87,"13,712,600"
29-Apr-25,9.33,9.44,8.83,8.86,8.86,"19,429,100"
28-Apr-25,9.49,10.05,9.01,9.22,9.22,"31,008,400"
25-Apr-25,9.23,9.8,8.97,9.37,9.37,"36,524,400"
24-Apr-25,9.23,9.73,9.14,9.3,9.3,"27,748,000"
23-Apr-25,9.06,9.35,8.87,9.11,9.11,"25,910,600"
22-Apr-25,8.23,8.58,8.13,8.57,8.57,"14,606,400"
21-Apr-25,8.17,8.2,7.81,8.11,8.11,"12,028,800"
17-Apr-25,8.29,8.48,8.07,8.32,8.32,"11,981,100"
