Date,Open,High,Low,Close,Volume
12-Sep-25,15.93,19.29,14.8,15.62,15.62,"7,767,292"
11-Sep-25,19.5,19.79,14,14.5,14.5,"4,020,986"
10-Sep-25,37.71,38.94,23.95,24.11,24.11,"6,874,882"
9-Sep-25,46.17,49.47,32.53,40.17,40.17,"19,337,277"
8-Sep-25,18.86,83.12,15.52,45.08,45.08,"204,842,444"
5-Sep-25,1.5,1.5,1.41,1.45,1.45,"13,627"
4-Sep-25,1.48,1.48,1.39,1.45,1.45,"26,122"
3-Sep-25,1.43,1.51,1.37,1.5,1.5,"34,532"
2-Sep-25,1.48,1.49,1.35,1.46,1.46,"44,821"
29-Aug-25,1.53,1.53,1.48,1.51,1.51,"11,061"
28-Aug-25,1.48,1.58,1.48,1.57,1.57,"36,814"
27-Aug-25,1.5,1.53,1.48,1.49,1.49,"19,060"
26-Aug-25,1.56,1.56,1.5,1.5,1.5,"13,996"
25-Aug-25,1.52,1.55,1.47,1.55,1.55,"17,070"
22-Aug-25,1.38,1.52,1.38,1.52,1.52,"37,553"
21-Aug-25,1.38,1.42,1.36,1.38,1.38,"34,323"
20-Aug-25,1.53,1.53,1.33,1.42,1.42,"69,176"
19-Aug-25,1.57,1.57,1.5,1.51,1.51,"23,284"
18-Aug-25,1.53,1.59,1.52,1.54,1.54,"37,758"
15-Aug-25,1.55,1.6,1.52,1.57,1.57,"31,594"
14-Aug-25,1.59,1.63,1.51,1.61,1.61,"25,658"
13-Aug-25,1.57,1.62,1.53,1.59,1.59,"81,347"
12-Aug-25,1.49,1.53,1.45,1.52,1.52,"26,493"
11-Aug-25,1.51,1.53,1.47,1.47,1.47,"35,172"
8-Aug-25,1.48,1.51,1.43,1.48,1.48,"31,419"
7-Aug-25,1.44,1.53,1.44,1.48,1.48,"28,662"
6-Aug-25,1.45,1.55,1.44,1.47,1.47,"80,708"
5-Aug-25,1.47,1.48,1.37,1.45,1.45,"178,552"
4-Aug-25,1.59,1.59,1.49,1.49,1.49,"70,404"
1-Aug-25,1.5,1.64,1.44,1.58,1.58,"218,717"
31-Jul-25,1.64,1.64,1.45,1.45,1.45,"114,309"
30-Jul-25,1.5,1.69,1.5,1.57,1.57,"268,992"
29-Jul-25,1.77,1.77,1.52,1.52,1.52,"347,382"
28-Jul-25,2.02,2.16,1.82,1.82,1.82,"1,429,421"
25-Jul-25,1.91,2.74,1.73,2.46,2.46,"57,539,108"
24-Jul-25,1.52,1.52,1.4,1.43,1.43,"7,686,855"
23-Jul-25,1.3,1.59,1.3,1.54,1.54,"107,631"
22-Jul-25,1.3,1.38,1.2,1.27,1.27,"87,170"
21-Jul-25,1.3,1.72,1.3,1.38,1.38,"309,403"
18-Jul-25,1.36,1.38,1.31,1.32,1.32,"12,111"
17-Jul-25,1.31,1.39,1.26,1.36,1.36,"37,087"
16-Jul-25,1.47,1.47,1.06,1.27,1.27,"148,041"
15-Jul-25,1.36,1.49,1.36,1.43,1.43,"90,772"
14-Jul-25,1.3,1.45,1.1,1.45,1.45,"166,111"
11-Jul-25,1.22,1.25,1.2,1.24,1.24,"42,785"
